player1,bumster,dicedstk,diggs,endgamedos,loui8sdstk,loui9sdstk,menelaus34,mwaxy,skandaras,smatties
bumster,0.32786885245901637,0.3157894736842105,0.2631578947368421,0.5,0.6363636363636364,0.0,0.25,0.4,0.23333333333333334,0.0
dicedstk,0.3157894736842105,0.4965753424657534,0.5151515151515151,0.6,0.546875,0.4444444444444444,0.5454545454545454,0.4,0.4765625,0.4642857142857143
diggs,0.2631578947368421,0.5151515151515151,0.5403225806451613,0.0,0.625,,0.5813953488372093,0.48,0.4838709677419355,0.0
endgamedos,0.5,0.6,0.0,0.5217391304347826,0.5833333333333334,,0.0,0.5,0.3333333333333333,0.42857142857142855
loui8sdstk,0.6363636363636364,0.546875,0.625,0.5833333333333334,0.5521235521235521,,0.5555555555555556,0.3333333333333333,0.5337837837837838,0.5909090909090909
loui9sdstk,0.0,0.4444444444444444,,,,0.45454545454545453,0.26666666666666666,,0.47368421052631576,0.4375
menelaus34,0.25,0.5454545454545454,0.5813953488372093,0.0,0.5555555555555556,0.26666666666666666,0.5263157894736842,0.38461538461538464,0.43243243243243246,0.2777777777777778
mwaxy,0.4,0.4,0.48,0.5,0.3333333333333333,,0.38461538461538464,0.47150259067357514,0.36666666666666664,0.0
skandaras,0.23333333333333334,0.4765625,0.4838709677419355,0.3333333333333333,0.5337837837837838,0.47368421052631576,0.43243243243243246,0.36666666666666664,0.4954128440366973,0.5662650602409639
smatties,0.0,0.4642857142857143,0.0,0.42857142857142855,0.5909090909090909,0.4375,0.2777777777777778,0.0,0.5662650602409639,0.550561797752809
